epoch,accuracy,loss,val_accuracy,val_loss
0,0.8600833415985107,0.445657879114151,0.8737999796867371,0.41369253396987915
1,0.9542666673660278,0.15012025833129883,0.911899983882904,0.29942119121551514
2,0.9697333574295044,0.10135918855667114,0.930400013923645,0.24742402136325836
3,0.9765666723251343,0.07843152433633804,0.9409999847412109,0.2182014435529709
4,0.9805166721343994,0.06314695626497269,0.9437000155448914,0.21301013231277466
5,0.9838666915893555,0.05173162370920181,0.9509999752044678,0.1885637640953064
6,0.9867500066757202,0.04331733658909798,0.9465000033378601,0.20551379024982452
7,0.988183319568634,0.03842614218592644,0.9509000182151794,0.18671785295009613
8,0.9894166588783264,0.031927790492773056,0.9569000005722046,0.18199822306632996
9,0.9905499815940857,0.028459852561354637,0.9574000239372253,0.1786060631275177
10,0.9915833473205566,0.025513645261526108,0.9545999765396118,0.18010205030441284
11,0.9929500222206116,0.021391084417700768,0.9567000269889832,0.18858560919761658
12,0.9932666420936584,0.019662251695990562,0.9545999765396118,0.197574645280838
13,0.9938499927520752,0.018424253910779953,0.9560999870300293,0.2023099660873413
14,0.9936333298683167,0.018303845077753067,0.9606000185012817,0.18289382755756378
15,0.994866669178009,0.015953274443745613,0.954200029373169,0.22209981083869934
16,0.9951500296592712,0.014721057377755642,0.9592999815940857,0.2025546133518219
17,0.9953833222389221,0.014351332560181618,0.9591000080108643,0.2076798379421234
18,0.9956333041191101,0.014062433503568172,0.9621999859809875,0.19030295312404633
19,0.9958000183105469,0.01263010036200285,0.9617000222206116,0.225693017244339
20,0.9955333471298218,0.012487777508795261,0.9607999920845032,0.2175343930721283
21,0.996066689491272,0.012480182573199272,0.9560999870300293,0.2223634570837021
22,0.9959333539009094,0.011284527368843555,0.9593999981880188,0.22590124607086182
23,0.9966999888420105,0.010061926208436489,0.9598000049591064,0.21568240225315094
24,0.9966333508491516,0.01069427840411663,0.9607999920845032,0.21907831728458405
25,0.9967166781425476,0.010148859582841396,0.9592999815940857,0.2180909663438797
26,0.9965500235557556,0.010182796977460384,0.9606999754905701,0.22544462978839874
27,0.996999979019165,0.008772259578108788,0.9639000296592712,0.2188105434179306
28,0.9967833161354065,0.009434849955141544,0.9621000289916992,0.21437905728816986
29,0.9970666766166687,0.009191525168716908,0.9607999920845032,0.2049563229084015
30,0.9974499940872192,0.0073024737648665905,0.9613999724388123,0.23913902044296265
31,0.9968666434288025,0.009833117946982384,0.965499997138977,0.19363471865653992
32,0.9976000189781189,0.007390002720057964,0.9632999897003174,0.2307441681623459
33,0.9972833395004272,0.008141480386257172,0.9632999897003174,0.22294743359088898
34,0.9973833560943604,0.007938223890960217,0.965399980545044,0.22136567533016205
35,0.9970999956130981,0.008862369693815708,0.965499997138977,0.21671205759048462
36,0.9973666667938232,0.008319362066686153,0.9641000032424927,0.2122456580400467
37,0.9972333312034607,0.008143676444888115,0.9642000198364258,0.21244587004184723
38,0.9976000189781189,0.0074942391365766525,0.9646999835968018,0.2239692360162735
39,0.9981333613395691,0.005475228186696768,0.963100016117096,0.2338443100452423
40,0.9982666373252869,0.005157378036528826,0.9629999995231628,0.25919246673583984
41,0.9972500205039978,0.008196273818612099,0.9660999774932861,0.22884026169776917
42,0.9979166388511658,0.005910676438361406,0.9646000266075134,0.22858916223049164
43,0.9981333613395691,0.006039236672222614,0.9638000130653381,0.25146886706352234
44,0.9979000091552734,0.006091794930398464,0.964900016784668,0.21936869621276855
45,0.9972666501998901,0.007913150824606419,0.9605000019073486,0.24866415560245514
46,0.9976500272750854,0.006557615008205175,0.9653000235557556,0.24506233632564545
47,0.9979166388511658,0.006425152998417616,0.9606000185012817,0.25920045375823975
48,0.9980999827384949,0.006091270595788956,0.9642999768257141,0.2633282542228699
49,0.9975166916847229,0.00746115343645215,0.9607999920845032,0.2664613425731659
50,0.9984999895095825,0.004841858055442572,0.9646999835968018,0.23668700456619263
51,0.998283326625824,0.0057250685058534145,0.963100016117096,0.22663302719593048
52,0.997866690158844,0.00747646251693368,0.963100016117096,0.22393366694450378
53,0.998283326625824,0.005120432935655117,0.9663000106811523,0.21727712452411652
54,0.9986166954040527,0.004563043359667063,0.9639999866485596,0.242110937833786
55,0.9978333115577698,0.006530513521283865,0.9660999774932861,0.26427754759788513
56,0.9984166622161865,0.005269660614430904,0.9624000191688538,0.268340528011322
57,0.9980499744415283,0.005397978238761425,0.9578999876976013,0.2933964729309082
58,0.9979000091552734,0.005882628727704287,0.9624000191688538,0.2789483964443207
59,0.9980166554450989,0.005204271990805864,0.9653000235557556,0.26431146264076233
